epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,178.991,0.59902,0.42832,0.9188,0.99109,1,0.995,0.87179,0.51701,0.35704,0.84476,0.0011486,0.0011486,0.0011486
45,182.305,0.58552,0.4129,0.92935,0.99623,1,0.995,0.85307,0.55512,0.35029,0.86872,0.0011288,0.0011288,0.0011288
46,184.967,0.59268,0.41964,0.9167,0.97817,1,0.99461,0.83956,0.66075,0.38991,0.88611,0.001109,0.001109,0.001109
47,187.671,0.60382,0.42348,0.93306,0.99836,1,0.995,0.85981,0.56917,0.33291,0.87741,0.0010892,0.0010892,0.0010892
48,190.436,0.6105,0.41384,0.93901,0.99441,1,0.995,0.87108,0.53281,0.3191,0.86284,0.0010694,0.0010694,0.0010694
49,193.195,0.59416,0.41748,0.9354,0.99069,1,0.995,0.86295,0.5694,0.32498,0.87784,0.0010496,0.0010496,0.0010496
50,196.146,0.56837,0.40284,0.91401,0.97991,1,0.995,0.86722,0.54087,0.31505,0.86118,0.0010298,0.0010298,0.0010298
51,198.885,0.57011,0.39051,0.91433,0.9799,1,0.995,0.8819,0.51617,0.2978,0.84603,0.00101,0.00101,0.00101
52,201.738,0.59146,0.38412,0.91951,0.97916,1,0.99461,0.88406,0.52078,0.33369,0.84869,0.0009902,0.0009902,0.0009902
53,204.749,0.57931,0.39032,0.924,0.99173,1,0.995,0.87305,0.56898,0.35377,0.85608,0.0009704,0.0009704,0.0009704
54,207.524,0.56066,0.37819,0.90724,1,0.99814,0.995,0.86633,0.54471,0.32976,0.85977,0.0009506,0.0009506,0.0009506
55,210.544,0.55836,0.37823,0.90819,1,0.99586,0.995,0.87499,0.5317,0.32339,0.84889,0.0009308,0.0009308,0.0009308
56,213.474,0.57475,0.39995,0.93893,0.97922,1,0.99461,0.8646,0.53028,0.32229,0.84921,0.000911,0.000911,0.000911
57,216.427,0.57713,0.39992,0.92081,0.97926,1,0.99461,0.88176,0.52815,0.32516,0.84495,0.0008912,0.0008912,0.0008912
58,219.214,0.58748,0.39366,0.93922,0.97918,1,0.99422,0.85315,0.54915,0.34355,0.85151,0.0008714,0.0008714,0.0008714
59,222.033,0.55359,0.37856,0.92933,0.9791,1,0.99461,0.8689,0.55704,0.33586,0.85485,0.0008516,0.0008516,0.0008516
60,224.926,0.52273,0.35955,0.91572,0.97925,1,0.99422,0.86984,0.53971,0.32065,0.84722,0.0008318,0.0008318,0.0008318
61,227.772,0.56172,0.3789,0.92216,0.97893,1,0.99422,0.87274,0.54236,0.30612,0.84523,0.000812,0.000812,0.000812
62,230.532,0.55308,0.37802,0.93278,0.979,1,0.99422,0.8892,0.49512,0.29609,0.83162,0.0007922,0.0007922,0.0007922
63,233.487,0.5532,0.35992,0.91354,0.97916,1,0.99382,0.88487,0.4994,0.29605,0.84293,0.0007724,0.0007724,0.0007724
