image_key,class_id,class_name,conf,x1,y1,x2,y2
cam51,56,chair,0.9093864560127258,270.8283996582031,180.53732299804688,354.0234375,304.7672119140625
cam51,56,chair,0.8829453587532043,335.839599609375,173.79881286621094,416.3098449707031,302.60235595703125
cam51,56,chair,0.8686343431472778,149.41734313964844,94.55619812011719,202.48016357421875,179.2565460205078
cam51,56,chair,0.8581274747848511,127.15628051757812,224.68711853027344,234.988037109375,382.8029479980469
cam51,56,chair,0.8581146001815796,195.94166564941406,89.05146789550781,248.89883422851562,170.7375030517578
cam51,56,chair,0.8338022232055664,207.69671630859375,214.25271606445312,306.3366394042969,361.73388671875
cam51,56,chair,0.8070158958435059,283.1890869140625,82.6082763671875,336.06622314453125,160.57241821289062
cam51,56,chair,0.7754979133605957,44.514888763427734,236.97396850585938,141.30027770996094,393.3890686035156
cam51,56,chair,0.6435861587524414,239.1331329345703,86.67955017089844,287.2521057128906,162.58340454101562
cam51,56,chair,0.44054025411605835,466.41876220703125,128.1077117919922,512.8631591796875,212.27706909179688
cam51,72,refrigerator,0.35219982266426086,356.549072265625,39.55337142944336,381.8056945800781,129.22665405273438
cam51,60,dining table,0.31562986969947815,473.8350830078125,123.55557250976562,562.4906005859375,223.80056762695312
cam51,56,chair,0.28628596663475037,207.830810546875,213.2679901123047,306.64532470703125,363.2673034667969
cam51,74,clock,0.25158771872520447,455.2366027832031,5.074965476989746,476.4230651855469,41.72454833984375
cam52,56,chair,0.7313779592514038,462.9603271484375,223.60159301757812,531.9124145507812,309.1706848144531
cam52,56,chair,0.6467629075050354,286.08477783203125,220.62591552734375,352.73126220703125,310.6847839355469
cam52,56,chair,0.6017885208129883,397.73565673828125,222.3494873046875,472.9416198730469,310.15142822265625
cam52,56,chair,0.5196331739425659,449.98712158203125,132.54002380371094,489.667236328125,184.4323272705078
cam52,56,chair,0.47791627049446106,339.39239501953125,221.63821411132812,414.10479736328125,310.3155517578125
cam52,56,chair,0.43242332339286804,350.6793212890625,138.40438842773438,394.4718017578125,193.65977478027344
cam52,56,chair,0.25363579392433167,284.7347106933594,105.22724914550781,315.27197265625,132.03799438476562
cam53,56,chair,0.9190040230751038,238.29132080078125,168.89271545410156,317.2109375,297.14776611328125
cam53,56,chair,0.8768584132194519,297.9931640625,174.23728942871094,392.2763977050781,308.9154052734375
cam53,56,chair,0.8661512136459351,466.4776611328125,77.07637786865234,517.708251953125,159.37693786621094
cam53,56,chair,0.8068073391914368,89.67613983154297,181.72848510742188,163.04144287109375,302.26904296875
cam53,56,chair,0.7983444929122925,419.3244934082031,73.90747833251953,470.40777587890625,154.8737335205078
cam53,56,chair,0.7539259195327759,140.66455078125,187.92723083496094,233.0601348876953,318.9998474121094
cam53,56,chair,0.6301456689834595,375.1981201171875,72.86238098144531,426.2872314453125,152.75526428222656
cam53,56,chair,0.6034551858901978,330.39697265625,77.97236633300781,379.8307800292969,150.51473999023438
cam53,56,chair,0.3741006553173065,595.2911987304688,105.94314575195312,641.748779296875,157.1396942138672
cam53,56,chair,0.34412866830825806,43.73814392089844,179.1434783935547,114.48242950439453,296.133544921875
cam53,56,chair,0.3419802784919739,42.997230529785156,179.498046875,112.98323059082031,295.3612060546875
cam54,56,chair,0.6417802572250366,258.58258056640625,329.4853515625,356.5149230957031,477.7250671386719
cam54,56,chair,0.33397820591926575,492.6794738769531,138.71157836914062,534.1796264648438,208.8848419189453
cam54,28,suitcase,0.2973681092262268,195.6024169921875,281.65631103515625,257.4634704589844,343.20489501953125
cam54,56,chair,0.29681146144866943,418.6883850097656,145.47262573242188,468.01641845703125,194.27224731445312
