index,row,col
0,22,1
1,21,2
2,20,3
3,20,4
4,20,5
5,19,6
6,18,6
7,17,7
8,16,7
9,15,7
10,14,7
11,13,8
12,12,8
13,11,8
14,10,9
15,9,9
16,8,9
17,7,9
18,6,9
19,5,9
20,4,9
21,3,8
22,2,7
23,1,6
24,0,5
