epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.8691,0.98568,5.4294,1.09901,0,0,0,0,0.65274,4.91741,0.87401,3.67213e-05,3.67213e-05,3.67213e-05
2,97.5582,0.97527,4.99411,1.08428,0.13383,0.10567,0.08873,0.07764,0.65745,4.75157,0.85338,7.33215e-05,7.33215e-05,7.33215e-05
3,133.397,0.99181,4.26665,1.10793,0.16134,0.35413,0.16281,0.14142,0.70888,5.02813,0.88619,0.000109182,0.000109182,0.000109182
4,170.142,0.9825,3.61746,1.10166,0.15596,0.36524,0.13398,0.11017,0.6916,5.01469,0.88308,0.000108674,0.000108674,0.000108674
5,209.423,0.95893,3.22978,1.08655,0.1033,0.38281,0.11704,0.08547,0.68289,4.94428,0.88168,0.000107565,0.000107565,0.000107565
6,245.567,0.93412,2.91547,1.06437,0.32283,0.41692,0.25597,0.21949,0.6637,5.18091,0.87876,0.000106456,0.000106456,0.000106456
7,279.515,0.90939,2.69959,1.05657,0.24508,0.41199,0.21453,0.18149,0.65227,5.33588,0.87855,0.000105347,0.000105347,0.000105347
8,314.617,0.92058,2.5745,1.05058,0.19945,0.40476,0.2039,0.16402,0.66073,5.32072,0.8758,0.000104238,0.000104238,0.000104238
9,348.557,0.8759,2.45157,1.04054,0.32271,0.41477,0.27428,0.23823,0.65545,5.44297,0.87193,0.00010313,0.00010313,0.00010313
10,386.573,0.87775,2.29313,1.04414,0.35005,0.44386,0.27072,0.23786,0.65616,5.7408,0.87257,0.000102021,0.000102021,0.000102021
11,423.451,0.92512,2.30229,1.05213,0.28031,0.48851,0.2649,0.23215,0.64759,5.73766,0.87007,0.000100912,0.000100912,0.000100912
12,462.868,0.86772,2.03787,1.02566,0.33219,0.5088,0.29778,0.26825,0.64157,5.66976,0.86789,9.98032e-05,9.98032e-05,9.98032e-05
13,503.424,0.84161,2.05695,1.02718,0.31489,0.51315,0.29046,0.2616,0.62851,5.74398,0.86537,9.86944e-05,9.86944e-05,9.86944e-05
14,541.423,0.83744,1.95758,1.01266,0.27451,0.46351,0.24603,0.21995,0.63049,5.64567,0.86244,9.75856e-05,9.75856e-05,9.75856e-05
15,584.212,0.80208,1.83641,1.01469,0.35777,0.48476,0.30952,0.2765,0.61379,5.73254,0.8541,9.64768e-05,9.64768e-05,9.64768e-05
16,623.021,0.85082,1.89786,1.03157,0.35662,0.45082,0.30192,0.2719,0.60784,5.94653,0.85031,9.5368e-05,9.5368e-05,9.5368e-05
17,659.034,0.79385,1.78361,1.00396,0.34,0.43785,0.2605,0.23479,0.61419,6.07321,0.85093,9.42592e-05,9.42592e-05,9.42592e-05
18,692.571,0.86473,1.79954,1.03048,0.25233,0.44747,0.21484,0.19161,0.61193,5.80415,0.84908,9.31504e-05,9.31504e-05,9.31504e-05
19,729.637,0.79793,1.68769,1.00134,0.2277,0.4624,0.20689,0.18574,0.61578,5.97427,0.85104,9.20416e-05,9.20416e-05,9.20416e-05
20,765.261,0.78974,1.64204,0.98252,0.25427,0.41676,0.21179,0.19294,0.60489,5.78483,0.84418,9.09328e-05,9.09328e-05,9.09328e-05
21,805.144,0.7877,1.60372,1.00482,0.23995,0.41304,0.2138,0.19702,0.58386,6.18236,0.84524,8.9824e-05,8.9824e-05,8.9824e-05
22,842.043,0.78828,1.58035,1.00768,0.1971,0.36371,0.14585,0.13101,0.60319,6.13813,0.84514,8.87152e-05,8.87152e-05,8.87152e-05
23,882.901,0.78941,1.56043,0.99843,0.23903,0.36159,0.16774,0.1504,0.61144,6.07356,0.84973,8.76064e-05,8.76064e-05,8.76064e-05
24,923.876,0.76564,1.55006,0.99422,0.30379,0.34219,0.22114,0.20504,0.59009,6.11319,0.8408,8.64976e-05,8.64976e-05,8.64976e-05
25,965.798,0.74414,1.50523,0.99103,0.30969,0.29503,0.2092,0.19315,0.59981,5.98332,0.84583,8.53888e-05,8.53888e-05,8.53888e-05
26,1007.03,0.78804,1.50013,1.00265,0.25412,0.279,0.16702,0.15072,0.59461,5.89509,0.848,8.428e-05,8.428e-05,8.428e-05
27,1048.76,0.763,1.4616,0.99123,0.22624,0.26992,0.14518,0.13231,0.58774,6.1568,0.8444,8.31712e-05,8.31712e-05,8.31712e-05
28,1088.74,0.72484,1.39771,0.97671,0.25654,0.20782,0.15883,0.15069,0.59486,6.01595,0.8511,8.20624e-05,8.20624e-05,8.20624e-05
29,1131.93,0.75939,1.41922,0.97942,0.35129,0.27901,0.23681,0.2247,0.58836,6.1218,0.84121,8.09536e-05,8.09536e-05,8.09536e-05
30,1179.51,0.75287,1.39172,0.98421,0.23622,0.19584,0.14632,0.13669,0.57598,6.03774,0.84227,7.98448e-05,7.98448e-05,7.98448e-05
31,1222.62,0.73206,1.35751,0.97883,0.33892,0.21791,0.22223,0.21053,0.57422,6.1647,0.84529,7.8736e-05,7.8736e-05,7.8736e-05
32,1264.35,0.71013,1.32596,0.95822,0.30701,0.22965,0.20057,0.18785,0.57939,6.35616,0.84479,7.76272e-05,7.76272e-05,7.76272e-05
33,1307.07,0.71692,1.32377,0.97907,0.31175,0.18838,0.19327,0.18438,0.57527,6.43304,0.84871,7.65184e-05,7.65184e-05,7.65184e-05
34,1350.36,0.71682,1.29996,0.97155,0.3166,0.25365,0.22013,0.20645,0.56349,6.54991,0.84631,7.54096e-05,7.54096e-05,7.54096e-05
35,1393.54,0.68631,1.27195,0.9692,0.34401,0.18913,0.21589,0.20273,0.58186,6.67182,0.84704,7.43008e-05,7.43008e-05,7.43008e-05
36,1435.66,0.69946,1.28745,0.95773,0.26852,0.16913,0.16509,0.15684,0.57718,6.28323,0.84558,7.3192e-05,7.3192e-05,7.3192e-05
37,1479.16,0.72278,1.2689,0.9685,0.27494,0.14653,0.15768,0.147,0.56533,6.4322,0.84701,7.20832e-05,7.20832e-05,7.20832e-05
