epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,826.91,0.61102,0.49478,0.91643,0.96646,0.8937,0.93904,0.78671,0.58538,0.48956,0.84758,0.000660045,0.000660045,0.000660045
43,845.025,0.59134,0.48943,0.90944,0.97941,0.90207,0.94296,0.80421,0.54445,0.43075,0.84183,0.000649046,0.000649046,0.000649046
44,862.344,0.58542,0.4827,0.91413,0.98066,0.90142,0.9469,0.80307,0.55383,0.43795,0.83122,0.000638047,0.000638047,0.000638047
45,881.084,0.57773,0.48248,0.90445,0.95028,0.93097,0.93957,0.79259,0.55339,0.43369,0.83694,0.000627048,0.000627048,0.000627048
46,900.015,0.5763,0.47762,0.9033,0.93146,0.92806,0.93689,0.79557,0.56447,0.42805,0.8373,0.000616049,0.000616049,0.000616049
47,919.831,0.56676,0.47343,0.90341,0.96154,0.89232,0.93416,0.79254,0.56816,0.45771,0.83776,0.000605051,0.000605051,0.000605051
48,937.514,0.58628,0.48309,0.91092,0.96327,0.92031,0.94487,0.80026,0.56686,0.44491,0.83733,0.000594052,0.000594052,0.000594052
49,955.851,0.55779,0.46304,0.90412,0.94357,0.92638,0.94527,0.80785,0.54471,0.43515,0.83747,0.000583053,0.000583053,0.000583053
50,975.446,0.56699,0.4522,0.90733,0.96007,0.90469,0.94099,0.80616,0.54547,0.42659,0.83255,0.000572054,0.000572054,0.000572054
51,994.11,0.54577,0.43787,0.8917,0.96308,0.91753,0.94463,0.80209,0.52108,0.41852,0.82438,0.000561055,0.000561055,0.000561055
52,1013.97,0.53399,0.45397,0.88078,0.94156,0.93061,0.94397,0.81407,0.53579,0.41726,0.82556,0.000550056,0.000550056,0.000550056
53,1032.19,0.55565,0.44772,0.89138,0.97276,0.91938,0.93952,0.81798,0.50919,0.40998,0.82136,0.000539057,0.000539057,0.000539057
54,1050.38,0.55032,0.44671,0.89706,0.95037,0.92405,0.94692,0.80774,0.52212,0.39548,0.8229,0.000528058,0.000528058,0.000528058
55,1069.45,0.49976,0.41634,0.87643,0.97223,0.91893,0.95095,0.80932,0.52595,0.3942,0.83051,0.000517059,0.000517059,0.000517059
56,1087.25,0.55751,0.44727,0.89685,0.9702,0.93236,0.94947,0.81552,0.53338,0.39226,0.82992,0.00050606,0.00050606,0.00050606
57,1106.74,0.56618,0.44906,0.89443,0.95244,0.94279,0.95036,0.81933,0.51131,0.39345,0.8239,0.000495062,0.000495062,0.000495062
58,1125.32,0.54016,0.41901,0.90924,0.97061,0.92376,0.95002,0.81826,0.5259,0.39555,0.82488,0.000484063,0.000484063,0.000484063
59,1143.82,0.55233,0.43877,0.89284,0.94131,0.89768,0.93926,0.81449,0.5121,0.41415,0.82153,0.000473064,0.000473064,0.000473064
60,1164.86,0.53358,0.419,0.8916,0.96652,0.93507,0.94763,0.83039,0.5125,0.39054,0.82674,0.000462065,0.000462065,0.000462065
61,1182.84,0.53255,0.4136,0.88014,0.93243,0.9331,0.9429,0.82366,0.50377,0.40019,0.82196,0.000451066,0.000451066,0.000451066
62,1201.36,0.52863,0.42074,0.89025,0.95871,0.94396,0.95279,0.84327,0.49236,0.3785,0.82263,0.000440067,0.000440067,0.000440067
63,1220.52,0.52858,0.40593,0.88011,0.96656,0.92237,0.95297,0.83199,0.48914,0.37009,0.82137,0.000429068,0.000429068,0.000429068
64,1240.71,0.50228,0.39161,0.88165,0.95784,0.91394,0.94433,0.82419,0.48499,0.39358,0.82293,0.000418069,0.000418069,0.000418069
65,1259.88,0.5248,0.41025,0.89461,0.94039,0.94733,0.95568,0.82932,0.49678,0.37163,0.82188,0.00040707,0.00040707,0.00040707
66,1280.12,0.50959,0.40667,0.88363,0.97053,0.92132,0.95447,0.83628,0.49276,0.38186,0.81887,0.000396071,0.000396071,0.000396071
67,1299.3,0.50106,0.3824,0.8729,0.96021,0.93189,0.95019,0.8312,0.48714,0.35783,0.81712,0.000385073,0.000385073,0.000385073
68,1317.55,0.51427,0.39937,0.88128,0.96624,0.92021,0.94775,0.82517,0.49078,0.38426,0.82212,0.000374074,0.000374074,0.000374074
69,1338.66,0.49321,0.40514,0.86826,0.97085,0.91662,0.94961,0.81723,0.49554,0.37522,0.82402,0.000363075,0.000363075,0.000363075
70,1358.64,0.48568,0.38112,0.86585,0.97077,0.91494,0.94852,0.8216,0.47974,0.37158,0.82436,0.000352076,0.000352076,0.000352076
71,1377.98,0.51568,0.39301,0.89021,0.97366,0.90588,0.95,0.82726,0.48415,0.35579,0.81892,0.000341077,0.000341077,0.000341077
72,1399.34,0.49029,0.3741,0.87963,0.96258,0.91577,0.94974,0.83281,0.48051,0.37218,0.81735,0.000330078,0.000330078,0.000330078
73,1418.63,0.46604,0.37356,0.87334,0.97677,0.91112,0.94872,0.82523,0.49076,0.37299,0.82172,0.000319079,0.000319079,0.000319079
74,1438.05,0.48384,0.38612,0.86774,0.98117,0.92219,0.95291,0.82758,0.48754,0.36391,0.82278,0.00030808,0.00030808,0.00030808
75,1457.21,0.48206,0.3755,0.87129,0.96238,0.92827,0.94782,0.82194,0.48934,0.36799,0.81831,0.000297081,0.000297081,0.000297081
76,1477.47,0.49236,0.37241,0.88392,0.9721,0.92219,0.95225,0.8385,0.47776,0.36381,0.81845,0.000286083,0.000286083,0.000286083
77,1495.99,0.48494,0.3792,0.88189,0.97934,0.92053,0.95113,0.83656,0.48152,0.35522,0.81643,0.000275084,0.000275084,0.000275084
78,1515.26,0.47408,0.36364,0.86274,0.96374,0.94125,0.9525,0.83424,0.47495,0.34922,0.81532,0.000264085,0.000264085,0.000264085
79,1533.78,0.46909,0.36007,0.88145,0.9837,0.92776,0.95093,0.84264,0.45759,0.34422,0.81106,0.000253086,0.000253086,0.000253086
80,1552.87,0.47881,0.36424,0.87155,0.96613,0.92735,0.95249,0.83484,0.47755,0.35456,0.81975,0.000242087,0.000242087,0.000242087
81,1570.95,0.47887,0.36397,0.86886,0.96539,0.93608,0.94985,0.83744,0.46242,0.34577,0.81047,0.000231088,0.000231088,0.000231088
82,1589.3,0.46514,0.35821,0.86587,0.96831,0.9241,0.94873,0.83706,0.46293,0.35094,0.81229,0.000220089,0.000220089,0.000220089
83,1607.73,0.47338,0.35805,0.87083,0.96376,0.93169,0.95127,0.83975,0.46078,0.34353,0.81302,0.00020909,0.00020909,0.00020909
84,1626.26,0.45456,0.34516,0.86851,0.9625,0.93229,0.95011,0.83318,0.46442,0.33784,0.81401,0.000198091,0.000198091,0.000198091
85,1645.26,0.46916,0.3501,0.8783,0.96821,0.9327,0.94884,0.83647,0.45316,0.33305,0.81393,0.000187092,0.000187092,0.000187092
86,1664.94,0.45941,0.34824,0.87252,0.96316,0.93918,0.95269,0.85079,0.45163,0.32878,0.80996,0.000176094,0.000176094,0.000176094
87,1684.71,0.43634,0.33546,0.86505,0.9715,0.93808,0.95399,0.84751,0.44912,0.33108,0.80889,0.000165095,0.000165095,0.000165095
88,1703.61,0.44241,0.33772,0.85721,0.97735,0.92606,0.95021,0.84377,0.45144,0.32933,0.80834,0.000154096,0.000154096,0.000154096
89,1721.92,0.45663,0.34224,0.88071,0.97103,0.93251,0.95454,0.85292,0.4489,0.32604,0.80447,0.000143097,0.000143097,0.000143097
90,1741.79,0.43482,0.3327,0.85145,0.96841,0.93705,0.95296,0.8486,0.44367,0.32669,0.80571,0.000132098,0.000132098,0.000132098
91,1763.68,0.37896,0.29542,0.80299,0.96294,0.93282,0.95107,0.8434,0.44884,0.33661,0.80776,0.000121099,0.000121099,0.000121099
92,1782.5,0.39173,0.29859,0.79787,0.98151,0.92706,0.94957,0.83535,0.45675,0.33614,0.80879,0.0001101,0.0001101,0.0001101
93,1800.98,0.36521,0.29192,0.79707,0.97295,0.92564,0.95058,0.84153,0.44622,0.33102,0.80873,9.91012e-05,9.91012e-05,9.91012e-05
94,1819.28,0.37153,0.28743,0.80464,0.97379,0.92344,0.95314,0.84461,0.44181,0.32622,0.80761,8.81023e-05,8.81023e-05,8.81023e-05
95,1837.12,0.36732,0.28467,0.79613,0.95888,0.93723,0.95278,0.84718,0.43744,0.32016,0.80622,7.71034e-05,7.71034e-05,7.71034e-05
96,1855.25,0.36042,0.28236,0.80465,0.9664,0.93339,0.95279,0.85008,0.4383,0.31862,0.80589,6.61045e-05,6.61045e-05,6.61045e-05
97,1872.54,0.35789,0.27506,0.79936,0.97333,0.93265,0.95369,0.85125,0.43719,0.32077,0.80586,5.51056e-05,5.51056e-05,5.51056e-05
98,1892.18,0.35998,0.27575,0.80267,0.96217,0.93864,0.95352,0.85516,0.43419,0.31951,0.80484,4.41067e-05,4.41067e-05,4.41067e-05
99,1910.44,0.36116,0.273,0.80031,0.97613,0.92942,0.95365,0.85331,0.43353,0.3181,0.80683,3.31078e-05,3.31078e-05,3.31078e-05
100,1929.7,0.35231,0.27306,0.79888,0.97549,0.93563,0.95473,0.85365,0.43396,0.31358,0.80669,2.21089e-05,2.21089e-05,2.21089e-05
