epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.5475,0.87044,3.53614,1.01857,0.11822,0.32394,0.28605,0.2332,0.72288,3.77012,0.83777,0.000361721,0.000361721,0.000361721
2,58.5008,0.90195,2.28775,1.05177,0.95287,0.19319,0.61755,0.45673,0.82184,3.06508,0.94274,0.000724807,0.000724807,0.000724807
3,75.4831,0.95602,1.93804,1.06476,0.72027,0.49166,0.675,0.45277,0.98607,2.24831,1.00691,0.00108056,0.00108056,0.00108056
4,93.5482,0.9591,1.78357,1.06055,0.74767,0.60743,0.70635,0.49245,0.94689,1.61837,1.06629,0.001078,0.001078,0.001078
5,110.259,0.92906,1.6062,1.06671,0.79483,0.71514,0.82639,0.61456,0.84104,1.34032,0.98219,0.001067,0.001067,0.001067
6,129.27,0.90066,1.48655,1.04953,0.67114,0.75377,0.82006,0.61259,0.82423,2.29235,0.94847,0.00105601,0.00105601,0.00105601
7,146.445,0.90675,1.34123,1.04141,0.84045,0.85119,0.89844,0.67775,0.83925,0.92778,0.93841,0.00104501,0.00104501,0.00104501
8,164.538,0.8729,1.2551,1.04423,0.9061,0.65693,0.83397,0.65158,0.76467,1.10978,0.97328,0.00103401,0.00103401,0.00103401
9,180.878,0.86068,1.15641,1.03345,0.87023,0.79837,0.8944,0.69955,0.78834,0.87357,0.95773,0.00102301,0.00102301,0.00102301
10,197.839,0.8418,1.07476,1.02214,0.85367,0.88955,0.90643,0.71516,0.75327,0.73331,0.92295,0.00101201,0.00101201,0.00101201
11,215.255,0.79479,1.02003,0.99159,0.86446,0.86087,0.89729,0.71896,0.70101,0.74045,0.91106,0.00100101,0.00100101,0.00100101
12,232.687,0.7897,0.93242,0.99914,0.92713,0.83482,0.90656,0.73683,0.71123,0.68122,0.90571,0.000990012,0.000990012,0.000990012
13,252.079,0.78889,0.89363,0.98996,0.95873,0.87727,0.92793,0.73201,0.70882,0.64351,0.91348,0.000979013,0.000979013,0.000979013
14,269.935,0.78573,0.83177,1.00714,0.92482,0.86455,0.92005,0.7281,0.72934,0.63737,0.92404,0.000968014,0.000968014,0.000968014
15,288.11,0.7821,0.83318,0.98139,0.88657,0.79782,0.89804,0.73199,0.67498,0.73378,0.89398,0.000957015,0.000957015,0.000957015
16,305.612,0.71317,0.75403,0.96144,0.90514,0.88962,0.93243,0.76142,0.66532,0.58913,0.89971,0.000946016,0.000946016,0.000946016
17,330.252,0.75626,0.79305,0.99913,0.88336,0.90536,0.93618,0.76703,0.68128,0.61148,0.88897,0.000935018,0.000935018,0.000935018
18,352.747,0.74245,0.75451,0.9678,0.91084,0.89395,0.94637,0.76478,0.67693,0.60641,0.90383,0.000924019,0.000924019,0.000924019
19,369.29,0.73655,0.73597,0.97993,0.92882,0.86376,0.93217,0.76658,0.63779,0.60331,0.9012,0.00091302,0.00091302,0.00091302
20,388.387,0.71114,0.71354,0.95319,0.96246,0.88556,0.94735,0.77405,0.65939,0.57571,0.89247,0.000902021,0.000902021,0.000902021
21,405.592,0.71348,0.66172,0.96441,0.94666,0.88922,0.93102,0.75901,0.66115,0.58923,0.89015,0.000891022,0.000891022,0.000891022
22,423.694,0.74001,0.7139,0.96584,0.91914,0.88878,0.9407,0.75969,0.66461,0.57311,0.8833,0.000880023,0.000880023,0.000880023
23,443.473,0.71376,0.69307,0.96936,0.94374,0.86452,0.95219,0.76726,0.65556,0.58331,0.88387,0.000869024,0.000869024,0.000869024
24,461.787,0.68425,0.62695,0.96131,0.90701,0.92404,0.93803,0.78758,0.59252,0.5234,0.87321,0.000858025,0.000858025,0.000858025
25,482.583,0.70236,0.63332,0.96371,0.87214,0.89289,0.92646,0.76712,0.61092,0.60765,0.90267,0.000847026,0.000847026,0.000847026
26,505.316,0.69283,0.63489,0.9647,0.94427,0.90607,0.95039,0.78286,0.62226,0.52086,0.88396,0.000836027,0.000836027,0.000836027
27,524.262,0.68639,0.63009,0.95367,0.91457,0.87172,0.92279,0.75215,0.66682,0.58071,0.89372,0.000825029,0.000825029,0.000825029
28,541.18,0.68451,0.58036,0.9742,0.93143,0.91256,0.94348,0.79957,0.59802,0.52102,0.87371,0.00081403,0.00081403,0.00081403
29,561.454,0.67254,0.57576,0.95054,0.94413,0.83151,0.93891,0.79209,0.59404,0.54719,0.86876,0.000803031,0.000803031,0.000803031
30,580.122,0.66205,0.57661,0.95201,0.93656,0.899,0.95535,0.8036,0.59723,0.49813,0.88207,0.000792032,0.000792032,0.000792032
31,600.022,0.67103,0.5991,0.96819,0.94266,0.9247,0.95321,0.77934,0.60628,0.50434,0.87621,0.000781033,0.000781033,0.000781033
32,618.805,0.65876,0.55864,0.94249,0.94562,0.90228,0.95676,0.8119,0.57212,0.49499,0.86744,0.000770034,0.000770034,0.000770034
33,636.469,0.65625,0.57397,0.94351,0.95518,0.86883,0.95153,0.78254,0.6104,0.52655,0.88733,0.000759035,0.000759035,0.000759035
34,656.527,0.63142,0.55082,0.93448,0.94269,0.90043,0.95707,0.77871,0.62296,0.48407,0.8786,0.000748036,0.000748036,0.000748036
35,675.307,0.6172,0.53681,0.92676,0.93185,0.93433,0.96228,0.80903,0.59636,0.45508,0.87841,0.000737037,0.000737037,0.000737037
36,695.776,0.6473,0.51842,0.93679,0.87689,0.94028,0.9479,0.79727,0.57995,0.50157,0.87183,0.000726038,0.000726038,0.000726038
