epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.6862,0.84006,4.00153,1.02708,0.00274,0.44891,0.30729,0.25752,0.76272,4.0456,0.88138,0.00027775,0.00027775,0.00027775
2,54.054,0.87484,2.65995,1.06909,0.68018,0.38354,0.3724,0.29769,0.88453,3.84804,0.94958,0.000561001,0.000561001,0.000561001
3,66.5034,0.85954,2.12252,1.04534,1,0.28142,0.63178,0.47661,0.94111,3.35242,0.99827,0.000838532,0.000838532,0.000838532
4,83.643,0.90382,1.95486,1.03413,0.8684,0.48578,0.7547,0.53688,1.03847,2.86703,1.03922,0.001078,0.001078,0.001078
5,100.684,0.91967,1.80306,1.05387,0.76265,0.73603,0.8118,0.56191,1.06695,2.17589,1.06958,0.001067,0.001067,0.001067
6,115.77,0.88967,1.67775,1.01893,0.82191,0.7796,0.83403,0.60323,0.98892,1.54884,1.07375,0.00105601,0.00105601,0.00105601
7,132.548,0.84448,1.6013,1.01307,0.85383,0.80737,0.83933,0.59796,1.03481,1.34691,1.03863,0.00104501,0.00104501,0.00104501
8,147.808,0.84495,1.45367,1.01421,0.86288,0.80571,0.88347,0.68284,0.9379,1.02371,1.01805,0.00103401,0.00103401,0.00103401
9,162.619,0.8695,1.34249,1.02405,0.91991,0.7297,0.87233,0.66179,0.95197,1.19216,1.03592,0.00102301,0.00102301,0.00102301
10,179.223,0.81096,1.28821,1.00812,0.89822,0.83648,0.90391,0.68389,0.89189,0.95891,0.99587,0.00101201,0.00101201,0.00101201
11,192.045,0.80296,1.22291,1.01115,0.91176,0.83527,0.93467,0.73221,0.83878,0.95073,0.94439,0.00100101,0.00100101,0.00100101
12,203.751,0.77606,1.12561,0.97425,0.90095,0.86492,0.91619,0.70956,0.87893,1.02953,0.95206,0.000990012,0.000990012,0.000990012
13,219.759,0.74992,1.06007,0.9756,0.84417,0.85449,0.88961,0.69719,0.8768,1.01923,0.96483,0.000979013,0.000979013,0.000979013
14,234.121,0.78408,1.09468,1.00815,0.8837,0.75885,0.89261,0.67992,0.90966,1.06446,0.95471,0.000968014,0.000968014,0.000968014
15,247.193,0.76764,0.99105,1.01234,0.88893,0.88311,0.91231,0.69231,0.91752,0.78482,0.98176,0.000957015,0.000957015,0.000957015
16,262.715,0.746,0.95512,0.97896,0.7908,0.8814,0.90488,0.70184,0.88045,0.96115,0.95861,0.000946016,0.000946016,0.000946016
17,275.696,0.74581,0.89982,0.97018,0.93252,0.90089,0.93071,0.72729,0.81666,0.71823,0.93481,0.000935018,0.000935018,0.000935018
18,287.271,0.74931,0.93103,0.97604,0.87079,0.88188,0.92402,0.73942,0.87679,0.87255,0.94578,0.000924019,0.000924019,0.000924019
19,299.584,0.73124,0.8589,0.97514,0.87375,0.94885,0.95993,0.76311,0.79901,0.62599,0.94139,0.00091302,0.00091302,0.00091302
20,310.344,0.71255,0.812,0.94684,0.9441,0.88571,0.93463,0.72614,0.86097,0.65853,0.96152,0.000902021,0.000902021,0.000902021
21,322.789,0.73387,0.78245,0.96557,0.94809,0.9045,0.93848,0.75501,0.76911,0.64523,0.92176,0.000891022,0.000891022,0.000891022
22,338.119,0.68934,0.75476,0.9453,0.96385,0.87676,0.94845,0.7603,0.73178,0.59902,0.91683,0.000880023,0.000880023,0.000880023
23,351.525,0.71198,0.75781,0.95143,0.9884,0.88572,0.95025,0.75175,0.7685,0.61855,0.93038,0.000869024,0.000869024,0.000869024
