epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.4315,0.85596,3.91927,1.04517,0.00964,0.53342,0.29879,0.2482,0.74733,3.91376,0.90473,0.000363346,0.000363346,0.000363346
2,71.3058,0.90539,2.61379,1.05425,0.71286,0.40886,0.60692,0.44928,0.96527,2.93179,1.05957,0.000726416,0.000726416,0.000726416
3,99.9378,0.94416,2.29861,1.07854,0.598,0.57397,0.60446,0.44228,0.93191,2.10388,1.05432,0.00108215,0.00108215,0.00108215
4,128.049,0.93035,2.00724,1.07238,0.61842,0.71548,0.7151,0.50328,0.92689,2.00667,1.05157,0.001078,0.001078,0.001078
5,156.255,0.9028,1.7088,1.04859,0.72491,0.65218,0.71162,0.51985,0.91052,1.46199,1.04345,0.001067,0.001067,0.001067
6,183.288,0.87474,1.51862,1.03427,0.75007,0.67063,0.77343,0.59921,0.83499,1.40735,1.01468,0.00105601,0.00105601,0.00105601
7,209.125,0.84313,1.35604,1.01939,0.84528,0.70369,0.80083,0.60093,0.80708,0.97947,0.95932,0.00104501,0.00104501,0.00104501
8,234.334,0.82226,1.2014,1.01643,0.817,0.73888,0.82049,0.63903,0.79122,0.92847,0.96725,0.00103401,0.00103401,0.00103401
9,262.546,0.78983,1.08486,1.00415,0.86181,0.80158,0.84122,0.6496,0.78886,0.83013,0.97603,0.00102301,0.00102301,0.00102301
10,288.739,0.81317,1.01801,1.01,0.84964,0.76325,0.84059,0.6705,0.73153,0.89164,0.94917,0.00101201,0.00101201,0.00101201
11,319.198,0.78046,0.95001,0.99725,0.91774,0.78018,0.86791,0.69543,0.7344,0.74369,0.94605,0.00100101,0.00100101,0.00100101
12,344.931,0.79688,0.87904,1.0048,0.93226,0.74127,0.86613,0.7018,0.699,0.78057,0.92801,0.000990012,0.000990012,0.000990012
13,370.917,0.7655,0.83736,0.98254,0.76918,0.73758,0.82081,0.62773,0.84766,1.01009,1.04128,0.000979013,0.000979013,0.000979013
14,396.38,0.73877,0.82652,0.97831,0.81209,0.78913,0.87398,0.70349,0.69279,0.95588,0.91809,0.000968014,0.000968014,0.000968014
15,423.851,0.7402,0.78087,0.97861,0.92406,0.80498,0.90877,0.7377,0.64136,0.72199,0.91187,0.000957015,0.000957015,0.000957015
16,454.775,0.70095,0.7152,0.96705,0.89829,0.83825,0.89931,0.7257,0.68826,0.6521,0.92073,0.000946016,0.000946016,0.000946016
17,487.099,0.72329,0.70496,0.96697,0.90516,0.83758,0.89141,0.72606,0.6586,0.63766,0.91667,0.000935018,0.000935018,0.000935018
18,517.694,0.68327,0.69386,0.95563,0.94461,0.86106,0.90899,0.74686,0.64125,0.57423,0.90508,0.000924019,0.000924019,0.000924019
19,545.582,0.68065,0.65089,0.94354,0.91619,0.83288,0.89635,0.74872,0.63973,0.6368,0.9065,0.00091302,0.00091302,0.00091302
20,575.523,0.72653,0.66337,0.97599,0.88268,0.85754,0.90018,0.73419,0.67658,0.64553,0.92543,0.000902021,0.000902021,0.000902021
21,605.892,0.71265,0.65168,0.97279,0.86894,0.82494,0.8692,0.70797,0.69256,0.66797,0.92752,0.000891022,0.000891022,0.000891022
22,637.648,0.6759,0.61644,0.94675,0.91401,0.85409,0.90295,0.74097,0.64422,0.58609,0.90249,0.000880023,0.000880023,0.000880023
23,668.217,0.66145,0.62545,0.94176,0.92964,0.8476,0.9034,0.73328,0.65694,0.61256,0.90965,0.000869024,0.000869024,0.000869024
24,699.235,0.67759,0.63218,0.95335,0.92571,0.82804,0.89305,0.72915,0.67064,0.67189,0.9086,0.000858025,0.000858025,0.000858025
25,730.532,0.66515,0.60568,0.94285,0.89472,0.86295,0.91174,0.75507,0.61991,0.55794,0.9003,0.000847026,0.000847026,0.000847026
26,760.778,0.63364,0.5585,0.92015,0.93063,0.87067,0.91891,0.76313,0.61626,0.52258,0.89328,0.000836027,0.000836027,0.000836027
27,791.174,0.64771,0.57809,0.93948,0.86649,0.88174,0.90678,0.74746,0.60754,0.57073,0.88946,0.000825029,0.000825029,0.000825029
28,818.746,0.63493,0.54998,0.93443,0.88743,0.88489,0.91761,0.75486,0.64863,0.56185,0.90902,0.00081403,0.00081403,0.00081403
29,847.654,0.62309,0.54716,0.92441,0.92557,0.88022,0.92586,0.7699,0.61226,0.51898,0.89595,0.000803031,0.000803031,0.000803031
30,873.026,0.61184,0.51918,0.92473,0.95747,0.86532,0.92714,0.77255,0.59144,0.51489,0.88841,0.000792032,0.000792032,0.000792032
31,900.339,0.61567,0.51814,0.92304,0.94073,0.8342,0.91637,0.76881,0.57456,0.51226,0.8818,0.000781033,0.000781033,0.000781033
32,932.206,0.60402,0.51287,0.91323,0.92262,0.83906,0.89932,0.74378,0.60439,0.56917,0.90043,0.000770034,0.000770034,0.000770034
33,961.598,0.61191,0.51695,0.92717,0.91262,0.84913,0.92,0.78414,0.55894,0.5025,0.86842,0.000759035,0.000759035,0.000759035
34,986.684,0.6054,0.50959,0.92865,0.93553,0.8635,0.91648,0.77192,0.61206,0.50684,0.88706,0.000748036,0.000748036,0.000748036
35,1016.61,0.62856,0.51774,0.93365,0.89174,0.8727,0.90928,0.77024,0.59554,0.52216,0.88575,0.000737037,0.000737037,0.000737037
36,1045.73,0.59142,0.48586,0.91683,0.86968,0.89821,0.9108,0.76919,0.56866,0.50815,0.87698,0.000726038,0.000726038,0.000726038
37,1071.26,0.60324,0.49135,0.92494,0.91506,0.87269,0.92635,0.77772,0.57361,0.48086,0.88181,0.00071504,0.00071504,0.00071504
38,1102.44,0.59317,0.49211,0.92545,0.92407,0.85585,0.91729,0.7855,0.55417,0.47914,0.87046,0.000704041,0.000704041,0.000704041
39,1132.84,0.58119,0.47873,0.91891,0.92794,0.856,0.90606,0.77146,0.56546,0.49564,0.87945,0.000693042,0.000693042,0.000693042
40,1159.19,0.56138,0.45764,0.90017,0.9338,0.84985,0.9227,0.78048,0.56161,0.46913,0.87167,0.000682043,0.000682043,0.000682043
41,1190.92,0.58948,0.47933,0.92198,0.86997,0.88228,0.90728,0.77829,0.57964,0.56816,0.87295,0.000671044,0.000671044,0.000671044
42,1219.3,0.57584,0.46654,0.91377,0.92265,0.89617,0.91751,0.77969,0.56698,0.47848,0.87288,0.000660045,0.000660045,0.000660045
43,1246.24,0.60449,0.47926,0.92455,0.9147,0.89543,0.92047,0.78158,0.58319,0.47881,0.88,0.000649046,0.000649046,0.000649046
44,1277.28,0.5619,0.4571,0.91301,0.91851,0.87787,0.91799,0.78407,0.54423,0.47406,0.87177,0.000638047,0.000638047,0.000638047
45,1307.85,0.59401,0.47851,0.9254,0.91238,0.89771,0.92094,0.79078,0.54548,0.46179,0.86462,0.000627048,0.000627048,0.000627048
46,1340.86,0.56477,0.46121,0.91563,0.89489,0.8935,0.91615,0.78863,0.53855,0.46098,0.8687,0.000616049,0.000616049,0.000616049
47,1373.02,0.54119,0.43738,0.8992,0.94363,0.85978,0.91572,0.78149,0.54261,0.45061,0.86747,0.000605051,0.000605051,0.000605051
48,1401.95,0.58066,0.45111,0.91903,0.9347,0.88594,0.92008,0.78484,0.52881,0.45392,0.87213,0.000594052,0.000594052,0.000594052
49,1433.44,0.53603,0.43398,0.88889,0.94868,0.85198,0.9241,0.79097,0.54791,0.44,0.86618,0.000583053,0.000583053,0.000583053
50,1469.13,0.54312,0.43296,0.91114,0.93743,0.87198,0.92292,0.7937,0.52758,0.42651,0.87506,0.000572054,0.000572054,0.000572054
51,1503.21,0.55739,0.44444,0.90766,0.90041,0.85816,0.9175,0.79616,0.54055,0.45679,0.87909,0.000561055,0.000561055,0.000561055
52,1531.01,0.55442,0.42971,0.91556,0.93082,0.87315,0.92555,0.80466,0.53354,0.44908,0.86435,0.000550056,0.000550056,0.000550056
53,1559.02,0.53382,0.42023,0.89098,0.90337,0.90232,0.92261,0.79053,0.51736,0.42958,0.86127,0.000539057,0.000539057,0.000539057
54,1587.02,0.53273,0.42019,0.91019,0.92089,0.88064,0.92131,0.80076,0.50826,0.43896,0.86153,0.000528058,0.000528058,0.000528058
55,1613.11,0.5328,0.40799,0.8968,0.89133,0.90893,0.93051,0.79247,0.5261,0.44298,0.86823,0.000517059,0.000517059,0.000517059
56,1640.42,0.52358,0.40685,0.89402,0.91894,0.88411,0.9348,0.798,0.5296,0.43341,0.86342,0.00050606,0.00050606,0.00050606
