index,row,col
0,22,0
1,21,1
2,20,2
3,19,3
4,18,4
5,17,5
6,16,6
7,15,7
8,14,7
9,13,7
10,12,7
11,11,8
12,10,9
13,9,9
14,8,9
15,7,9
16,6,9
17,5,9
18,4,9
19,3,8
20,2,7
21,1,6
22,0,5
